Traceroute to: google.com
Resolved IP: 142.250.69.46
Max hops: 30
Packet size: 60 bytes

Hop | IP address / Hostname                     | Response time (ms)
----+--------------------------------------------+-------------------
1   | 162.243.190.6                              | 2.061
    | 162.243.190.12                             | 2.121
    | 162.243.190.8                              | 2.000

2   | 143.244.192.128                            | 2.101
    | 143.244.192.126                            | 2.102
    | 143.244.192.130                            | 2.049

3   | 143.244.227.56                             | 2.690
    | 143.244.227.10                             | 2.651
    | (no response)                              | 2.800

4   | 143.244.224.37                             | 2.348
    | 143.244.224.47                             | 2.489
    | 143.244.224.39                             | 2.422

5   | * * *                                      | Request timed out

6   | * * *                                      | Request timed out

7   | 142.251.70.12                              | 2.481
    | (same hop)                                 | 2.497
    | 172.253.69.114                             | 2.533

8   | 192.178.98.58                              | 2.774
    | 192.178.98.196                             | 2.759
    | 192.178.98.122                             | 3.531

9   | 142.251.231.171                            | 10.785
    | 209.85.254.198                             | 11.466
    | 142.251.231.171                            | 10.536

10  | 142.251.245.132                            | 9.554
    | 142.251.248.182                            | 58.023
    | 192.178.75.0                               | 13.195

11  | 192.178.86.95                              | 10.357
    | 142.251.226.117                            | 10.634
    | 142.251.225.119                            | 10.842

12  | 142.250.238.147                            | 10.363
    | (same hop)                                 | 9.891
    | 142.250.237.11                             | 10.843

13  | pnyula-aa-in-f14.1e100.net (142.250.69.46) | 10.037
    | (destination reached)                      | 9.304
    |                                            | 10.229
